admission_year,tnea_college_code,source_branch_code,programme_name,branch_id,source_id,source_page
2026,1,BY,BIO MEDICAL ENGINEERING (SS),,SRC005,1
2026,1,CE,CIVIL ENGINEERING,,SRC005,1
2026,1,CM,COMPUTER SCIENCE AND ENGINEERING (SS),,SRC005,1
2026,1,CS,COMPUTER SCIENCE AND ENGINEERING,CSE,SRC005,1
2026,1,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,ECE,SRC005,1
2026,1,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,EEE,SRC005,1
2026,1,EL,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY) (SS),,SRC005,1
2026,1,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),,SRC005,1
2026,1,GI,GEO INFORMATICS,,SRC005,1
2026,1,IE,INDUSTRIAL ENGINEERING,,SRC005,1
2026,1,IM,INFORMATION TECHNOLOGY (SS),,SRC005,1
2026,1,MA,MATERIAL SCIENCE AND ENGINEERING (SS),,SRC005,1
2026,1,ME,MECHANICAL ENGINEERING,MECH,SRC005,1
2026,1,MI,MINING ENGINEERING,,SRC005,1
2026,1,MN,MANUFACTURING ENGINEERING,,SRC005,2
2026,1,PT,PRINTING & PACKING TECHNOLOGY,,SRC005,2
2026,1,XC,CIVIL ENGINEERING (TAMIL MEDIUM),,SRC005,2
2026,1,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),,SRC005,2
2026,4,AE,AERONAUTICAL ENGINEERING,,SRC005,3
2026,4,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),,SRC005,3
2026,4,AU,AUTOMOBILE ENGINEERING,,SRC005,3
2026,4,CM,COMPUTER SCIENCE AND ENGINEERING (SS),,SRC005,3
2026,4,CS,COMPUTER SCIENCE AND ENGINEERING,CSE,SRC005,3
2026,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,ECE,SRC005,3
2026,4,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,,SRC005,3
2026,4,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),,SRC005,3
2026,4,IM,INFORMATION TECHNOLOGY (SS),,SRC005,3
2026,4,PR,PRODUCTION ENGINEERING,,SRC005,4
2026,4,RA,ROBOTICS AND AUTOMATION (SS),,SRC005,4
2026,4,RP,RUBBER AND PLASTIC TECHNOLOGY,,SRC005,4
2026,2005,AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),,SRC005,95
2026,2005,CE,CIVIL ENGINEERING,,SRC005,95
2026,2005,CS,COMPUTER SCIENCE AND ENGINEERING,CSE,SRC005,95
2026,2005,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,ECE,SRC005,95
2026,2005,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,EEE,SRC005,95
2026,2005,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,,SRC005,95
2026,2005,IB,INDUSTRIAL BIO TECHNOLOGY,,SRC005,96
2026,2005,IT,INFORMATION TECHNOLOGY,IT,SRC005,96
2026,2005,ME,MECHANICAL ENGINEERING,MECH,SRC005,96
2026,2005,PR,PRODUCTION ENGINEERING,,SRC005,96
2026,2006,AS,AUTOMOBILE ENGINEERING (SS),,SRC005,96
2026,2006,BS,BIO TECHNOLOGY (SS),,SRC005,96
2026,2006,BY,BIO MEDICAL ENGINEERING (SS),,SRC005,96
2026,2006,CE,CIVIL ENGINEERING,,SRC005,96
2026,2006,CG,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING) (SS),,SRC005,96
2026,2006,CM,COMPUTER SCIENCE AND ENGINEERING (SS),,SRC005,96
2026,2006,CN,CIVIL ENGINEERING (SS),,SRC005,96
2026,2006,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,ECE,SRC005,96
2026,2006,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,EEE,SRC005,96
2026,2006,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),,SRC005,97
2026,2006,EY,ELECTRICAL AND ELECTRONICS ENGINEERING (SS),,SRC005,97
2026,2006,FY,FASHION TECHNOLOGY (SS),,SRC005,97
2026,2006,IM,INFORMATION TECHNOLOGY (SS),,SRC005,97
2026,2006,IY,INSTRUMENTATION AND CONTROL ENGINEERING (SS),,SRC005,97
2026,2006,ME,MECHANICAL ENGINEERING,MECH,SRC005,97
2026,2006,MF,MECHANICAL ENGINEERING (SS),,SRC005,97
2026,2006,MS,MECHANICAL ENGINEERING (SANDWICH) (SS),,SRC005,97
2026,2006,MT,METALLURGICAL ENGINEERING,,SRC005,97
2026,2006,MY,METALLURGICAL ENGINEERING (SS),,SRC005,97
2026,2006,PN,PRODUCTION ENGINEERING (SS),,SRC005,97
2026,2006,PR,PRODUCTION ENGINEERING,,SRC005,97
2026,2006,RA,ROBOTICS AND AUTOMATION (SS),,SRC005,97
2026,2006,TT,TEXTILE TECHNOLOGY (SS),,SRC005,97
2026,2006,TX,TEXTILE TECHNOLOGY,,SRC005,97
2026,2007,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),,SRC005,98
2026,2007,CE,CIVIL ENGINEERING,,SRC005,98
2026,2007,CH,CHEMICAL ENGINEERING,,SRC005,98
2026,2007,CL,CHEMICAL ENGINEERING (SS),,SRC005,98
2026,2007,CM,COMPUTER SCIENCE AND ENGINEERING (SS),,SRC005,98
2026,2007,CN,CIVIL ENGINEERING (SS),,SRC005,98
2026,2007,CS,COMPUTER SCIENCE AND ENGINEERING,CSE,SRC005,98
2026,2007,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,ECE,SRC005,98
2026,2007,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,EEE,SRC005,98
2026,2007,EL,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY) (SS),,SRC005,98
2026,2007,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),,SRC005,98
2026,2007,EY,ELECTRICAL AND ELECTRONICS ENGINEERING (SS),,SRC005,98
2026,2007,IM,INFORMATION TECHNOLOGY (SS),,SRC005,98
2026,2007,ME,MECHANICAL ENGINEERING,MECH,SRC005,98
2026,2007,MF,MECHANICAL ENGINEERING (SS),,SRC005,99
